GEOID,total_outage_days,median_income,n_requests
17031230900,19.0,80756.0,5
17031231100,2.0,59745.0,1
17031231200,344.0,31629.0,24
17031231500,242.0,31755.0,28
17031240200,36.0,172019.0,4
17031240300,2.0,142292.0,1
17031240500,53.0,178770.0,3
17031240700,3.0,96250.0,1
17031240900,1.0,98145.0,1
17031241000,20.0,96518.0,7
17031241100,23.0,90822.0,4
17031241300,25.0,182829.0,2
17031241400,48.0,200429.0,5
17031241600,5.0,121471.0,1
17031242000,1.0,151724.0,1
17031242100,6.0,205338.0,2
17031242200,6.0,168311.0,2
17031242400,1.0,110129.0,1
17031242500,8.0,93279.0,3
17031242600,21.0,85000.0,1
17031242700,8.0,80227.0,1
17031243000,8.0,123750.0,3
17031243100,1.0,107833.0,1
17031243400,15.0,113966.0,3
17031243500,26.0,169198.0,6
17031250300,45.0,64537.0,7
17031250400,82.0,47281.0,9
17031250500,39.0,120386.0,10
17031250600,18.0,81458.0,3
17031250700,3.0,50924.0,2
17031250800,42.0,65884.0,5
17031251000,3.0,35568.0,1
17031251100,91.0,40584.0,20
17031251200,52.0,64309.0,12
17031251300,42.0,42182.0,11
17031251400,84.0,21049.0,16
17031251500,86.0,47491.0,16
17031251600,61.0,34332.0,10
17031251700,3.0,57037.0,1
17031251800,169.0,36681.0,28
17031251900,145.0,35047.0,20
17031252000,100.0,30103.0,16
17031252101,38.0,50139.0,5
17031252102,97.0,51992.0,18
17031252201,7.0,45458.0,2
17031252202,58.0,45839.0,14
17031260100,23.0,21875.0,3
17031260200,31.0,51125.0,11
17031260300,28.0,-666666666.0,5
17031260400,66.0,13489.0,5
17031260500,33.0,40991.0,6
17031260600,69.0,42875.0,12
17031260700,95.0,46167.0,14
17031260800,58.0,36681.0,12
17031260900,18.0,20841.0,2
17031261000,72.0,48482.0,10
17031270500,28.0,24375.0,7
17031271200,47.0,31048.0,6
17031271300,4.0,45046.0,3
17031271400,20.0,43355.0,3
17031271500,24.0,50926.0,1
17031271800,5.0,51550.0,3
17031280100,10.0,148319.0,3
17031280800,4.0,31500.0,1
17031280900,21.0,-666666666.0,3
17031281900,9.0,125918.0,2
17031282700,40.0,88646.0,3
17031282800,12.0,85000.0,2
17031283200,3.0,64223.0,2
17031290900,135.0,46189.0,12
17031291200,50.0,24555.0,7
17031292200,62.0,37028.0,6
17031292400,32.0,40152.0,3
17031292500,76.0,54968.0,6
17031300500,9.0,76023.0,1
17031300600,5.0,51092.0,2
17031300700,36.0,49206.0,5
17031300800,32.0,31161.0,3
17031300900,36.0,34259.0,8
17031301100,22.0,44598.0,8
17031301200,24.0,53654.0,5
17031301600,13.0,30158.0,4
17031301701,16.0,56460.0,2
17031301702,5.0,69000.0,2
17031301801,23.0,48944.0,4
17031301802,3.0,25513.0,1
17031301803,3.0,59213.0,1
17031310200,8.0,122422.0,1
17031310300,2.0,75605.0,1
17031310400,8.0,80786.0,2
17031310600,37.0,75604.0,8
17031310700,12.0,72684.0,5
17031310800,38.0,72059.0,20
17031310900,14.0,76758.0,5
17031320102,22.0,109211.0,6
17031320400,101.0,137917.0,9
17031330101,2.0,181013.0,1
17031330102,1.0,110464.0,1
17031330103,3.0,122957.0,2
17031330200,3.0,140556.0,2
17031340400,4.0,41125.0,2
17031340600,24.0,20588.0,1
17031351500,9.0,65938.0,1
17031380100,4.0,79734.0,1
17031380200,24.0,18690.0,1
17031380600,19.0,35804.0,7
17031381200,2.0,53750.0,1
17031381400,21.0,44399.0,6
17031381500,1.0,25019.0,1
17031381800,12.0,49671.0,7
17031390200,17.0,109868.0,5
17031390300,8.0,35266.0,3
17031390400,19.0,31833.0,4
17031390600,8.0,94115.0,2
17031390700,0.0,67610.0,1
17031400300,151.0,71288.0,10
17031400400,144.0,40029.0,15
17031400500,13.0,24659.0,2
17031400800,19.0,22648.0,4
17031410100,3.0,58667.0,2
17031410200,4.0,62591.0,1
17031410500,52.0,73041.0,6
17031410600,1.0,48071.0,1
17031410700,20.0,57000.0,3
17031410800,32.0,63091.0,4
17031411100,7.0,123611.0,1
17031420100,4.0,22215.0,1
17031420400,25.0,38605.0,2
17031420500,5.0,22432.0,2
17031420600,51.0,43063.0,9
17031420700,56.0,28605.0,9
17031420800,26.0,56357.0,7
17031421200,67.0,45972.0,9
17031430101,29.0,37917.0,7
17031430102,22.0,49672.0,1
17031430200,40.0,34072.0,14
17031430300,3.0,53807.0,2
17031430400,3.0,38034.0,1
17031430500,13.0,36310.0,4
17031430600,53.0,42487.0,11
17031430700,7.0,37983.0,3
17031430800,81.0,47625.0,9
17031430900,19.0,31357.0,2
17031431200,15.0,60110.0,9
17031431301,86.0,36496.0,10
17031431302,144.0,31981.0,27
17031431400,384.0,38438.0,22
17031440101,31.0,28326.0,4
17031440102,80.0,36650.0,9
17031440201,27.0,38257.0,8
17031440202,60.0,35079.0,12
17031440300,45.0,55476.0,6
17031440600,8.0,56989.0,6
17031440900,78.0,43359.0,7
17031450300,29.0,46207.0,6
17031460100,97.0,48207.0,14
17031460200,8.0,29246.0,1
17031460301,208.0,41296.0,36
17031460302,82.0,44306.0,16
17031460400,65.0,70472.0,10
17031460500,114.0,54850.0,20
17031460800,204.0,33048.0,33
17031461000,28.0,14311.0,2
17031480100,1.0,71719.0,1
17031480300,4.0,54268.0,1
17031480400,101.0,78064.0,12
17031480500,31.0,59484.0,3
17031490200,35.0,65268.0,10
17031490500,81.0,78319.0,6
17031490600,23.0,66927.0,3
17031490700,38.0,42083.0,10
17031490800,168.0,47212.0,11
17031490901,49.0,32284.0,7
17031490902,54.0,69471.0,11
17031491000,256.0,33065.0,49
17031491100,33.0,77045.0,7
17031491200,13.0,60417.0,5
17031491300,42.0,39615.0,10
17031491400,50.0,38491.0,11
17031500100,41.0,67708.0,5
17031500200,12.0,40720.0,5
17031500300,13.0,51336.0,1
17031510100,30.0,71276.0,8
17031510200,10.0,48917.0,2
17031510300,11.0,30875.0,6
17031520100,44.0,58713.0,6
17031520200,95.0,46803.0,9
17031520300,63.0,54175.0,10
17031520400,25.0,49494.0,4
17031520500,24.0,84563.0,1
17031520600,35.0,70750.0,3
17031530100,21.0,29747.0,5
17031530200,82.0,39579.0,15
17031530300,12.0,56924.0,4
17031530400,40.0,83836.0,5
17031530501,81.0,41000.0,17
17031530502,15.0,75986.0,5
17031530503,40.0,50405.0,7
17031530600,72.0,41678.0,8
17031540101,121.0,16176.0,10
17031540102,25.0,24583.0,4
17031550100,41.0,52174.0,4
17031550200,11.0,72232.0,2
17031560200,1.0,73125.0,2
17031560300,5.0,61979.0,2
17031560800,2.0,105886.0,2
17031561100,3.0,107857.0,2
17031570100,4.0,73462.0,1
17031570200,3.0,-666666666.0,2
17031570300,6.0,60139.0,2
17031570400,5.0,72263.0,2
17031580100,4.0,49323.0,5
17031580200,60.0,36010.0,14
17031580300,50.0,83029.0,4
17031580400,4.0,56190.0,2
17031580501,23.0,52757.0,3
17031580502,1.0,59803.0,1
17031580600,73.0,67297.0,13
17031580700,31.0,59399.0,9
17031580800,7.0,67679.0,3
17031590500,4.0,72383.0,3
17031590600,0.0,78137.0,1
17031590700,12.0,77344.0,4
17031600600,1.0,72210.0,1
17031600700,7.0,68237.0,1
17031600900,26.0,62049.0,7
17031610300,45.0,49901.0,10
17031610400,5.0,35938.0,2
17031610800,6.0,125250.0,2
17031611200,4.0,41480.0,1
17031611300,4.0,48351.0,3
17031611400,8.0,32056.0,4
17031611500,10.0,42353.0,2
17031611600,9.0,52692.0,1
17031611700,4.0,-666666666.0,1
17031611800,28.0,50250.0,7
17031611900,46.0,39375.0,7
17031612000,0.0,57396.0,1
17031612100,39.0,25000.0,4
17031612200,17.0,46227.0,5
17031620100,17.0,85256.0,6
17031620200,25.0,64107.0,2
17031620300,23.0,71319.0,4
17031620400,0.0,62000.0,1
17031630300,31.0,64871.0,4
17031630400,32.0,58147.0,6
17031630500,11.0,53235.0,5
17031630600,88.0,48398.0,12
17031630800,49.0,72582.0,5
17031630900,22.0,49922.0,7
17031640300,28.0,86900.0,3
17031640400,5.0,93488.0,2
17031640600,10.0,74773.0,2
17031640700,5.0,78533.0,1
17031640800,1.0,40556.0,1
17031650100,16.0,65852.0,4
17031650200,1.0,93041.0,1
17031650301,1.0,53750.0,1
17031650302,19.0,65833.0,6
17031650400,19.0,82758.0,5
17031650500,13.0,64432.0,4
17031660301,42.0,28846.0,9
17031660302,4.0,49101.0,3
17031660400,49.0,50710.0,6
17031660500,2.0,66944.0,2
17031660600,69.0,39913.0,15
17031660700,24.0,32864.0,1
17031660800,39.0,43569.0,9
17031660900,41.0,45572.0,9
17031661000,81.0,49652.0,13
17031661100,36.0,69196.0,9
17031670100,10.0,36313.0,3
17031670200,26.0,96152.0,6
17031670300,1.0,35038.0,1
17031670400,15.0,33482.0,10
17031670500,31.0,29856.0,3
17031670600,12.0,39000.0,3
17031670700,5.0,29541.0,1
17031670800,30.0,43145.0,5
17031670900,32.0,30542.0,4
17031671100,20.0,15735.0,4
17031671200,2.0,42143.0,3
17031671300,26.0,29563.0,7
17031671400,79.0,29469.0,11
17031671500,71.0,43203.0,7
17031671600,57.0,25849.0,10
17031671800,9.0,52125.0,2
17031671900,20.0,36337.0,1
17031672000,45.0,45192.0,8
17031680500,66.0,42639.0,7
17031680600,0.0,52237.0,1
17031680900,77.0,18333.0,8
17031681000,213.0,27844.0,18
17031681100,39.0,36083.0,4
17031681200,33.0,23250.0,5
17031681300,90.0,21888.0,14
17031681400,73.0,51835.0,16
17031690300,1.0,34978.0,1
17031690400,34.0,46313.0,7
17031690500,30.0,57841.0,3
17031690900,102.0,36927.0,24
17031691000,3.0,64361.0,2
17031691100,33.0,55170.0,3
17031691200,75.0,34444.0,9
17031691300,10.0,55203.0,5
17031691400,51.0,35495.0,10
17031691500,48.0,24101.0,6
17031700100,2.0,79659.0,1
17031700200,6.0,74125.0,2
17031700301,16.0,84667.0,3
17031700302,5.0,86000.0,2
17031700401,23.0,94313.0,9
17031700402,20.0,98152.0,4
17031700501,14.0,64739.0,9
17031710100,55.0,28287.0,7
17031710200,170.0,30871.0,28
17031710300,1.0,54886.0,1
17031710400,61.0,43986.0,7
17031710500,57.0,44973.0,13
17031710600,18.0,42132.0,4
17031710700,15.0,40938.0,5
17031710800,85.0,37580.0,13
17031710900,16.0,48867.0,5
17031711000,46.0,55197.0,9
17031711100,30.0,49688.0,7
17031711200,13.0,60433.0,4
17031711400,20.0,59188.0,4
17031711500,17.0,52885.0,4
17031720100,0.0,149180.0,1
17031720200,3.0,121080.0,1
17031720300,7.0,136914.0,2
17031720500,29.0,111250.0,3
17031720700,5.0,98897.0,1
17031730100,15.0,57200.0,2
17031730201,56.0,61432.0,11
17031730202,47.0,81250.0,5
17031730300,10.0,45278.0,7
17031730400,17.0,88365.0,4
17031730500,73.0,64566.0,10
17031730600,3.0,80500.0,1
17031730700,45.0,67500.0,6
17031740100,1.0,109375.0,1
17031740200,2.0,124161.0,1
17031740400,17.0,91042.0,5
17031750100,39.0,53273.0,6
17031750200,29.0,79464.0,7
17031750400,17.0,108788.0,1
17031750500,39.0,68615.0,7
17031750600,62.0,58494.0,11
17031810900,3.0,56292.0,1
17031830500,25.0,65795.0,5
17031830600,5.0,64261.0,3
17031830700,1.0,67462.0,1
17031831100,28.0,97640.0,7
17031831200,8.0,61250.0,1
17031831300,113.0,45583.0,10
17031831400,59.0,33516.0,12
17031831500,3.0,78682.0,1
17031831600,25.0,59535.0,4
17031831700,24.0,47232.0,2
17031831800,11.0,84357.0,4
17031832000,37.0,146944.0,4
17031832100,1.0,84875.0,1
17031832200,19.0,152902.0,4
17031832300,1.0,131212.0,1
17031832500,22.0,148971.0,5
17031832600,23.0,211324.0,1
17031832900,3.0,80951.0,1
17031833000,11.0,169489.0,4
17031833100,4.0,168125.0,3
17031833900,28.0,40694.0,8
17031834000,21.0,41225.0,3
17031834200,119.0,63523.0,20
17031834300,90.0,52425.0,16
17031834400,67.0,40588.0,13
17031834500,13.0,53958.0,4
17031834600,124.0,24836.0,14
17031834700,4.0,37000.0,2
17031834800,46.0,21636.0,7
17031834900,49.0,20086.0,7
17031835000,88.0,41907.0,14
17031835100,52.0,46414.0,10
17031835200,2.0,79000.0,2
17031835500,21.0,20669.0,2
17031835800,6.0,84500.0,4
17031836100,29.0,19645.0,6
17031836200,5.0,-666666666.0,1
17031836400,2.0,27012.0,1
17031836500,7.0,-666666666.0,2
17031836600,74.0,84667.0,16
17031836700,106.0,47439.0,20
17031836800,26.0,22642.0,5
17031836900,57.0,43333.0,6
17031837000,81.0,43951.0,12
17031837100,8.0,61351.0,1
17031837300,12.0,22197.0,4
17031837400,5.0,45234.0,2
17031837800,43.0,34688.0,7
17031838000,19.0,-666666666.0,4
17031838100,63.0,-666666666.0,5
17031838200,11.0,105667.0,4
17031838600,15.0,14701.0,2
17031838700,243.0,24074.0,26
17031839000,69.0,95565.0,7
17031839100,209.0,139943.0,19
17031839200,7.0,39133.0,2
17031839600,7.0,68880.0,4
17031839700,22.0,90149.0,8
17031839800,4.0,79643.0,1
17031840100,1.0,66981.0,1
17031840200,3.0,51771.0,2
17031840300,20.0,74722.0,8
17031840400,4.0,77768.0,2
17031840700,57.0,106250.0,9
17031840800,32.0,47572.0,6
17031841000,4.0,105625.0,2
17031841100,51.0,43527.0,10
17031841200,44.0,62819.0,8
17031841300,70.0,69327.0,11
17031841500,16.0,24706.0,5
17031841700,17.0,45854.0,1
17031841800,20.0,50964.0,3
17031841900,52.0,136955.0,4
17031842100,33.0,60741.0,11
17031842200,51.0,95174.0,6
17031842300,14.0,173082.0,2
17031842400,141.0,100870.0,22
17031842500,1.0,36955.0,1
17031842600,53.0,91667.0,9
17031842800,11.0,56667.0,7
17031842900,26.0,21521.0,4
17031843000,34.0,21726.0,6
17031843100,71.0,61648.0,10
17031843200,3.0,70525.0,3
17031843300,40.0,65278.0,4
17031843400,77.0,43021.0,9
17031843600,18.0,71359.0,2
17031843800,11.0,57885.0,3
17031843900,25.0,47760.0,5
17031844600,9.0,56848.0,4
17031844700,64.0,69583.0,10
